longitude,latitude,light_intensity,geometry,index_right,quadkey,avg_d_kbps,avg_u_kbps,avg_lat_ms,tests,devices,country
35.15416838790001,32.541666327,0,POINT (35.15416838790001 32.541666327),3067006.0,1221122231111113.0,226525.0,219837.0,8.0,8.0,3.0,P.S.E
35.15833505460001,32.541666327,0,POINT (35.15833505460001 32.541666327),3071493.0,1221122320000002.0,53562.0,9096.0,8.0,7.0,1.0,P.S.E
35.16250172130001,32.541666327,0,POINT (35.16250172130001 32.541666327),3071494.0,1221122320000003.0,9292.0,492.0,10.0,4.0,1.0,P.S.E
35.166668388000005,32.541666327,0,POINT (35.166668388000005 32.541666327),3071494.0,1221122320000003.0,9292.0,492.0,10.0,4.0,1.0,P.S.E
35.17083505470001,32.541666327,0,POINT (35.17083505470001 32.541666327),3071497.0,1221122320000012.0,23091.0,3651.0,11.0,7.0,1.0,P.S.E
35.187501721500006,32.541666327,0,POINT (35.187501721500006 32.541666327),3071504.0,1221122320000103.0,37978.0,2721.0,13.0,1.0,1.0,P.S.E
35.19583505490001,32.541666327,0,POINT (35.19583505490001 32.541666327),3071506.0,1221122320000113.0,33573.0,2812.0,11.0,1.0,1.0,P.S.E
35.20000172160001,32.541666327,0,POINT (35.20000172160001 32.541666327),3071506.0,1221122320000113.0,33573.0,2812.0,11.0,1.0,1.0,P.S.E
35.204168388300005,32.541666327,0,POINT (35.204168388300005 32.541666327),3071518.0,1221122320001002.0,13259.0,1697.0,21.0,2.0,1.0,P.S.E
35.262501722100005,32.541666327,0,POINT (35.262501722100005 32.541666327),3071522.0,1221122320010013.0,14797.0,2017.0,42.0,1.0,1.0,P.S.E
35.26666838880001,32.541666327,0,POINT (35.26666838880001 32.541666327),3071526.0,1221122320010102.0,14295.0,2320.0,77.0,1.0,1.0,P.S.E
35.27083505550001,32.541666327,0,POINT (35.27083505550001 32.541666327),3071526.0,1221122320010102.0,14295.0,2320.0,77.0,1.0,1.0,P.S.E
35.31250172250001,32.541666327,0,POINT (35.31250172250001 32.541666327),3071530.0,1221122320011102.0,190978.0,5036.0,14.0,1.0,1.0,P.S.E
35.341668389400006,32.541666327,0,POINT (35.341668389400006 32.541666327),3071578.0,1221122320100003.0,18551.0,2284.0,14.0,1.0,1.0,P.S.E
35.35000172280001,32.541666327,0,POINT (35.35000172280001 32.541666327),3071579.0,1221122320100013.0,22749.0,2908.0,14.0,26.0,1.0,P.S.E
35.35416838950001,32.541666327,0,POINT (35.35416838950001 32.541666327),3071583.0,1221122320100102.0,242439.0,9908.0,16.0,26.0,1.0,P.S.E
35.358335056200005,32.541666327,0,POINT (35.358335056200005 32.541666327),3071583.0,1221122320100102.0,242439.0,9908.0,16.0,26.0,1.0,P.S.E
34.91250171930001,32.5374996603,0,POINT (34.91250171930001 32.5374996603),3066722.0,1221122231010031.0,8181.0,2473.0,33.0,9.0,2.0,P.S.E
34.916668386000005,32.5374996603,0,POINT (34.916668386000005 32.5374996603),3066724.0,1221122231010120.0,231.0,2818.0,16.0,1.0,1.0,P.S.E
35.13750172110001,32.5374996603,0,POINT (35.13750172110001 32.5374996603),3067007.0,1221122231111120.0,8396.0,164.0,24.0,1.0,1.0,P.S.E
35.14166838780001,32.5374996603,0,POINT (35.14166838780001 32.5374996603),3067008.0,1221122231111121.0,31361.0,4051.0,15.0,3.0,3.0,P.S.E
35.145835054500004,32.5374996603,0,POINT (35.145835054500004 32.5374996603),3067010.0,1221122231111130.0,41366.0,2563.0,10.0,7.0,6.0,P.S.E
35.150001721200006,32.5374996603,0,POINT (35.150001721200006 32.5374996603),3067010.0,1221122231111130.0,41366.0,2563.0,10.0,7.0,6.0,P.S.E
35.15416838790001,32.5374996603,0,POINT (35.15416838790001 32.5374996603),3067011.0,1221122231111131.0,21721.0,4044.0,13.0,15.0,4.0,P.S.E
35.15833505460001,32.5374996603,0,POINT (35.15833505460001 32.5374996603),3071498.0,1221122320000020.0,12812.0,12865.0,18.0,11.0,3.0,P.S.E
35.16250172130001,32.5374996603,0,POINT (35.16250172130001 32.5374996603),3071499.0,1221122320000021.0,10325.0,607.0,13.0,4.0,1.0,P.S.E
35.166668388000005,32.5374996603,0,POINT (35.166668388000005 32.5374996603),3071499.0,1221122320000021.0,10325.0,607.0,13.0,4.0,1.0,P.S.E
35.341668389400006,32.5374996603,0,POINT (35.341668389400006 32.5374996603),3071580.0,1221122320100021.0,68899.0,2893.0,10.0,1.0,1.0,P.S.E
34.91250171930001,32.5333329936,0,POINT (34.91250171930001 32.5333329936),3066722.0,1221122231010031.0,8181.0,2473.0,33.0,9.0,2.0,P.S.E
34.916668386000005,32.5333329936,0,POINT (34.916668386000005 32.5333329936),3066724.0,1221122231010120.0,231.0,2818.0,16.0,1.0,1.0,P.S.E
35.13750172110001,32.5333329936,0,POINT (35.13750172110001 32.5333329936),3067007.0,1221122231111120.0,8396.0,164.0,24.0,1.0,1.0,P.S.E
35.14166838780001,32.5333329936,0,POINT (35.14166838780001 32.5333329936),3067008.0,1221122231111121.0,31361.0,4051.0,15.0,3.0,3.0,P.S.E
35.145835054500004,32.5333329936,0,POINT (35.145835054500004 32.5333329936),3067010.0,1221122231111130.0,41366.0,2563.0,10.0,7.0,6.0,P.S.E
35.150001721200006,32.5333329936,0,POINT (35.150001721200006 32.5333329936),3067010.0,1221122231111130.0,41366.0,2563.0,10.0,7.0,6.0,P.S.E
35.15416838790001,32.5333329936,0,POINT (35.15416838790001 32.5333329936),3067011.0,1221122231111131.0,21721.0,4044.0,13.0,15.0,4.0,P.S.E
35.15833505460001,32.5333329936,0,POINT (35.15833505460001 32.5333329936),3071498.0,1221122320000020.0,12812.0,12865.0,18.0,11.0,3.0,P.S.E
35.16250172130001,32.5333329936,0,POINT (35.16250172130001 32.5333329936),3071499.0,1221122320000021.0,10325.0,607.0,13.0,4.0,1.0,P.S.E
35.166668388000005,32.5333329936,0,POINT (35.166668388000005 32.5333329936),3071499.0,1221122320000021.0,10325.0,607.0,13.0,4.0,1.0,P.S.E
35.341668389400006,32.5333329936,0,POINT (35.341668389400006 32.5333329936),3071580.0,1221122320100021.0,68899.0,2893.0,10.0,1.0,1.0,P.S.E
34.91250171930001,32.5291663269,0,POINT (34.91250171930001 32.5291663269),3066723.0,1221122231010033.0,41608.0,2473.0,13.0,10.0,3.0,P.S.E
34.920835052700006,32.5291663269,0,POINT (34.920835052700006 32.5291663269),3066725.0,1221122231010123.0,49013.0,1983.0,305.0,1.0,1.0,P.S.E
34.92500171940001,32.5291663269,0,POINT (34.92500171940001 32.5291663269),3066725.0,1221122231010123.0,49013.0,1983.0,305.0,1.0,1.0,P.S.E
34.92916838610001,32.5291663269,0,POINT (34.92916838610001 32.5291663269),3066726.0,1221122231010132.0,21274.0,1763.0,14.0,1.0,1.0,P.S.E
34.95000171960001,32.5291663269,0,POINT (34.95000171960001 32.5291663269),3066746.0,1221122231011032.0,26643.0,2054.0,12.0,1.0,1.0,P.S.E
34.954168386300005,32.5291663269,0,POINT (34.954168386300005 32.5291663269),3066747.0,1221122231011033.0,24982.0,2140.0,13.0,2.0,1.0,P.S.E
